,semester,參加社團,average
0,1021,N,76.42759398496241
1,1021,Y,77.18183870967742
2,1022,N,75.24654135338346
3,1022,Y,75.72523655913979
4,1031,N,74.89887218045112
5,1031,Y,73.82852688172044
6,1032,N,77.29364661654135
7,1032,Y,76.30374193548387
8,1041,N,77.96563909774436
9,1041,Y,77.95551612903226
10,1042,N,79.32676691729323
11,1042,Y,79.03898924731182
12,1051,N,80.33116541353384
13,1051,Y,80.60356989247313
14,1052,N,79.0134962406015
15,1052,Y,79.89851612903226
