,semester,系學會社團,average
0,1021,N,77.12171096345514
1,1021,Y,76.90501683501684
2,1022,N,75.65156146179402
3,1022,Y,75.58553872053872
4,1031,N,74.0037707641196
5,1031,Y,74.1302356902357
6,1032,N,77.21612956810631
7,1032,Y,75.8223569023569
8,1041,N,77.81785714285714
9,1041,Y,78.09956228956229
10,1042,N,79.1914784053156
11,1042,Y,79.0133164983165
12,1051,N,80.41186046511628
13,1051,Y,80.67587542087543
14,1052,N,79.50385382059801
15,1052,Y,79.90217171717171
